,asin_id,name,price,avg_rating,no_of_ratings
119,B003D7F4YY,Forbidden Island – The Cooperative Strategy Survival Island Board Game,19.95,4.7,4980
121,B06Y1N3PTX,Battleship With Planes Strategy Board Game For Ages 7 and Up (Amazon Exclusive),24.43,4.7,4998
122,B07HM7WZT9,Rio Grande Games Power Grid Recharged,35.7,4.8,127
123,B00GDI4HX4,Coup (The Dystopian Universe),11.99,4.8,4465
124,B000NP4832,"University Games Smart Ass The Ultimate Trivia Board Game for Families & Adults Ages 12 & Up, The Perfect Tabletop Game For Parties & Events, Model:1360",17.96,4.6,2594
126,B0002HYHT6,HABA Monza - A Car Racing Beginner's Board Game Encourages Thinking Skills - Ages 5 and Up (Made in Germany),24.99,4.7,564
127,B07WTNZ1XF,"Scrabble, Monopoly, and Clue Vintage Board Game Bookshelf Collection",99.95,4.7,70
128,B002SQBB3O,Calliope Tsuro - The Game of The Path - A Family Strategy Board Game,29.98,4.8,1995
129,B01MQ4IKQJ,Ticket to Ride - First Journey,28.0,4.8,873
130,B01FSV380Y,PlayMonster 5 Second Rule Uncensored Game,11.99,4.6,3470
131,B076MFY2LK,Pun Intended - It's All Pun and Games - Perfect Game for Pun Lovers,24.99,4.6,889
132,B00004W60G,Wit's End Board Game,36.95,4.4,663
133,B005COHOM6,Kingdom Builder,36.92,4.6,388
134,B00MOURUR0,"Samsung Galaxy Tab 3 Lite (7-Inch, Dark Gray) (Renewed)",0.0,4.1,224
135,B0778TY7XP,...I should have known that! Trivia Game,20.0,4.4,2766
136,B01N3A4070,Blue Orange Games Kingdomino Award Winning Family Strategy Board Game,18.36,4.8,2476
137,B07S21TXZH,"CX L SUM Magnetic Dart Board, Indoor Outdoor Dart Games for Kids with 12pcs Magnetic Darts, Safety Toy Games, Rollup Double Sided Board Game Set for Gifts",19.88,4.6,788
139,B07N5ZS5QP,"Amerous 15 Inches Magnetic Wooden Chess Set - 2 Extra Queens - Folding Board, Handmade Portable Travel Chess Board Game Sets with Game Pieces Storage Slots - Beginner Chess Set for Kids and Adults",29.99,4.6,1199
140,B08637FBDR,"Plaid Hat Games Forgotten Waters: A Crossroads Game, Various (PH2900)",50.11,4.8,40
141,B087XXTXBZ,The UpsideDownChallenge Game for Kids & Family - Complete Fun Challenges with Upside Down Goggles - Hilarious Game for Game Night and Parties - Ages 8+,19.99,4.6,224
142,B07ZP8HFNP,Joyful Mathematics MULTI Board Game,25.0,5.0,3
143,1223063151,Winning Moves Tile Lock Scrabble,16.96,4.4,3599
144,B083YKHS8H,"Operation Pet Scan Board Game for 2 or More Players, Kids Ages 6 and Up, with Silly Sounds, Remove The Objects or Get The Buzzer",19.82,4.6,115
145,B07XKSQ7VX,Gunpowder Studios Bag of Dungeon - A Fantasy Adventure Board Game for 1-4 Players,44.99,4.7,102
146,B06XZ9K244,"Magilano SKYJO The Ultimate Card Game for Kids and Adults. The Ideal Board Game for Funny, Entertaining and exciting Playing Hours with Friends and Family.",14.95,4.8,9436
147,B085Q3TND1,Drone Home Game with Real Flying Drone,19.82,4.3,20
149,B0771YL7DZ,Monopoly Game: Cheaters Edition Board Game Ages 8 and Up,19.99,4.6,4183
150,B01IWALX00,"Watch Ya' Mouth Family Edition - The Authentic, Hilarious, Mouthguard Party Game",15.99,4.6,8486
151,B001SN8GF4,"USAOPOLY Telestrations Original 8 Player, Family Board Game, A Fun Family Game for Kids and Adults, Family Game Night Just Got Better, The Telephone Game Sketched Out, Multicolor",25.23,4.8,4905
154,B01ALHAMTK,Monopoly Ultimate Banking Board Game,24.68,4.5,4362
155,B07NDRRP33,"Election Night! Board Game - Winner of 2019 Parents Choice Gold Award. A Super Fun Way to Learn Essential Math, Geography and Civics While Strategizing Your Way to The White House.",39.95,4.7,196
156,B07G2VHPRW,USAopoly USOBL123537 Blank Slate,0.0,4.8,1403
157,B01M3UZGD9,Kids Create Absurdity: Laugh Until You Cry! A Hilarious Family Card Game for Bored Kids and Game Night Fun,19.95,4.6,993
158,B08D8S6SBR,"Fast Sling Foosball Puck Game Board Game Middle Size, Table Desktop Battle 2 in 1 Ice Hockey Game, Funny Battle Board Games for Adults or Kids Party Home Parent - Child Game",19.98,4.5,22
159,B00V82MG2O,HASBRO GAMING:Chutes and Ladders Board Game,11.99,4.8,1227
160,B08FSZQCZD,Stonemaier Games Wingspan with Swift Start Pack & Wingspan European Expansion Board Game,67.26,5.0,3
164,B0792JY6G4,Starling Games: Everdell Board Game,60.0,4.8,493
165,B06XW8R798,Avalon Hill Betrayal at Baldur's Gate Board Game,35.0,4.8,513
168,B084D2XQ9F,USAOPOLY HUES and CUES/Vibrant Color Guessing Game Perfect for Family Game Night/Connect Clues and Colors Together/480 Color Squares to Guess,19.99,4.8,9
170,B01N6PRX20,Hasbro Guess Who Classic Game,0.0,4.6,11518
171,B07MLXK4TZ,Winning Moves Games Pretty Princess Board Game,16.99,4.7,2803
172,B07GH9DS26,Discover: Lands Unknown,19.22,4.0,99
173,B01BDK1O64,Ouija Board Game,19.99,4.3,1574
175,B085WL16T6,Godzilla Tokyo Clash Board Game,27.99,4.8,47
176,B07N3ZM4GQ,"Upwords, Fun and Challenging Family Word Game with Stackable Letter Tiles, for Ages 8 and Up",17.02,4.6,444
177,B01LZXVN4P,Gloomhaven,100.88,4.8,2426
178,B083YL5VCY,"Dungeons & Dragons Adventure Begins, Cooperative Fantasy Board Game, Fast Entry to The World of D&D, Family Game for 2-4 Players, 10 and Up",24.86,4.2,19
179,B00UB7P0XY,"Gamewright Outfoxed! A Cooperative Whodunit Board Game for Kids 5+, Multi-colored, Standard, Model Number: 418",19.99,4.7,1861
180,B085WL16TV,Funkoverse: Disney The Nightmare Before Christmas 100 4-Pack Board Game - Amazon First to Market Exclusive,39.99,4.9,20
181,B087CSGV84,"BAKAM Super Fast Sling Puck Game, Portable Table Hockey Game for Kids and Adults, Tabletop Slingshot Games Toys for Boys and Girls, Desktop Sport Board Game for Family Game Night Fun (Large)",39.99,4.5,106
182,1933054395,Mindware Qwirkle Board Game,24.99,4.8,6784
183,B00M085AMI,CASHFLOW Board Game (New Edition) with Exclusive Bonus Strategy Guide (PDF Delivered Via Email),79.99,4.7,1080
