,asin_id,name,price,avg_rating,no_of_ratings
80,1988884047,Roxley Games Brass Birmingham Board Games,57.84,4.8,173
81,B00628K9BY,King Of The Hill Season 7,0.0,4.9,2003
82,B00VOBIJFM,Across The Board Horseracing Game Top,75.0,4.7,593
83,B074YN5CKM,Sid Meier's Civilization - A New Dawn,32.95,4.5,294
84,B08C5BQVJD,The 7th Continent Classic Edition - Core Box - English Version - Boardgame - Cooperative - 1 to 4 Players - Adventure - Exploration - Survival,59.0,4.8,11
85,B08GPMDXK1,"Matching Letter Game for Kids, Sight Words Alphabet Flash Cards and Math Board Games Toys for Toddlers, ABC Educational Learning Toy for Preschool Kindergarten, Gifts for Boys & Girls Ages 3 4 5 6 7",15.99,4.9,16
86,B07VCTYNJT,Bamboozled - The Bluffing Dice Game,14.99,4.3,389
87,B07JZTBV9C,Taco vs Burrito - The Wildly Popular Surprisingly Strategic Card Game Created by a 7 Year Old,19.99,4.4,2829
88,B083YKFYN3,"Monopoly Super Electronic Banking Board Game, Electronic Banking Unit, Choose Your Rewards, Cashless Gameplay Tap Technology, for Ages 8 and Up",24.86,4.4,58
89,B01M3UZGD9,Kids Create Absurdity: Laugh Until You Cry! A Hilarious Family Card Game for Bored Kids and Game Night Fun,19.95,4.6,1019
90,B086DSTFL8,"Fast Sling Puck Game Paced,Tinfence Table Desktop Battle,Winner Board Games Toys for Adults Parent-Child Interactive Chess Toy Board Table Game (22.7 in x 12.5 in)",39.97,4.5,365
91,B07WMWNYNN,Big Potato The Blockbuster Game: A Movie Party Game for the Whole Family,14.0,4.6,510
92,B07FDYS8ZV,"The World Game - Geography Card Game - Educational Board Game for Kids, Family & Adults",24.99,4.5,488
93,0975277324,Ticket To Ride - Play With Alexa,48.11,4.8,9155
94,B075YGB112,"Will & Grace, Season 7",1.99,4.8,2005
95,B00D4NJSBW,Taboo Board Game,14.92,4.7,3270
96,B07L437XBJ,Istanbul: Big Box Board Game,55.89,4.8,89
97,B0084M8UEE,Indie Boards and Cards Flash Point Fire Rescue 2nd Edition,24.99,4.7,705
98,B00LHJZ1OI,Hasbro Gaming The Game of Life Electronic Banking,24.99,4.7,970
99,B0861WBJ8G,Ravensburger 3D Labyrinth Family Board Game for Kids & Adults Age 7 & Up - So Easy to Learn & Play with Great Replay Value Amazon Exclusive,34.99,4.8,9
100,B083YKSNN8,"Hasbro Gaming Mall Madness Game, Talking Electronic Shopping Spree Board Game for Kids Ages 9 and Up, for 2 to 4 Players",18.88,4.2,133
101,B00GDI4HX4,Coup (The Dystopian Universe),11.99,4.8,4545
102,B07DWQTSN7,"GAMELAND Silicone Board Game Bits Bowls Storage Bowls, 5-Pack in Macaroon Color, Portable Folding Tray Holds Game Bits, Components, Pieces, Dices",14.99,4.5,63
103,B07XKSQ7VX,Gunpowder Studios Bag of Dungeon - A Fantasy Adventure Board Game for 1-4 Players,44.99,4.7,108
104,B07VPRNZJB,Monopoly Socialism Board Game Parody Adult Party Game,11.6,4.4,1602
105,B08412VYKZ,Ravensburger Disney Jungle Cruise Adventure Game for Ages 8 & Up - Amazon Exclusive,34.99,4.6,502
106,B01MRGY6G6,Plague Inc. The Board Game,38.99,4.8,700
107,B084BJRQQB,"Ravensburger The Castles of Tuscany Strategy Game for Ages 12 & Up - A Fast, Strategic Game of Region Building During The Italian Renaissance",44.99,5.0,2
108,B07PQFN8H8,"Kangaroo's 14.75"" Faux Leather Vinyl Backgammon Set; Favorite Board Game; Best in Classic Board Games",33.95,4.8,513
109,B07WW3Y3JV,4-Player Shut The Box Dice Game - 4 Sided Wooden Board Game (2-4 Players) for Kids - Classics Table Game for Learning Numbers,25.99,4.6,237
110,B07WFH8HZW,WICCSTAR Black Ouija Board Game for Spirit Hunt. with Planchette and Detailed Instruction,13.79,3.9,37
111,B085PVZX5C,PlayMonster Drone Home Game with Real Flying Drone!,19.99,3.8,60
112,B0145YOSW2,Goliath Who Tooted,17.34,4.4,280
113,B01F46RPS4,IELLO King of Tokyo: New Edition Board Game,31.43,4.8,1423
114,B07S21TXZH,"CX L SUM Magnetic Dart Board, Indoor Outdoor Dart Games for Kids with 12pcs Magnetic Darts, Safety Toy Games, Rollup Double Sided Board Game Set for Gifts",18.88,4.6,819
115,B076MFY2LK,Pun Intended - It's All Pun and Games - Perfect Game for Pun Lovers,24.99,4.6,907
116,B08CVTXRFJ,"Scientoy Tabletop Curling Game, Family Games for Kids and Adults with 10 Shuffleboard Pucks, Curling Board Game for Home& School &Travel, Gift for Child Age 6 and Up, Compact Curling Game for Storage",14.99,5.0,16
117,B07QB98HV7,Monopoly Unicorns Vs. Llamas Board Game For Ages 8 & Up (Amazon Exclusive),19.67,4.7,2675
118,B00NQQTXNK,Hasbro Games Trivial Pursuit Family Edition (Amazon Exclusive),16.99,4.7,2177
119,B07XJPYLX5,Buffalo Games - I Dissent,14.99,4.5,132
120,B06XY881H4,Connect 4 Strategy Board Game for Ages 6 and Up (Amazon Exclusive),14.16,4.8,4512
121,B085WL16TV,Funkoverse: Disney The Nightmare Before Christmas 100 4-Pack Board Game - Amazon First to Market Exclusive,39.99,4.9,32
122,B01GSYA4K2,"Indie Boards and Cards Terraforming Mars Board Game, Multicolor (6005SG)",41.99,4.7,1778
123,B087YSP7D5,"Mathemagical World - Addition & Subtraction Math Board Game for Kids, Ages 5+ and Perfect for Homeschool, Kindergarten, Pre-k, and Gifted & Talented Prep",19.99,4.8,28
124,B07V9Z7C8C,GanjaLand - an Epic Weed Adventure!,29.99,4.8,603
125,B083YL5VCY,"Dungeons & Dragons Adventure Begins, Cooperative Fantasy Board Game, Fast Entry to The World of D&D, Family Game for 2-4 Players, 10 and Up",24.86,4.4,38
126,B008FD8ETS,Hungry Hungry Hippos,19.99,4.4,6040
127,B07D5QHKJN,PlayMonster 5 Second Rule Game - New Edition,15.97,4.6,4645
128,B074XK59BQ,Neddy Games Conspiracy Theory Trivia Board Game,34.95,4.4,447
129,B019NDGDIW,"Brain Freeze, Award-Winning Board Game for Kids and Families, Fun and Educational Game to Learn Strategy, Logic, Deduction and Memory, Ages 5 and Up",24.95,4.3,171
130,B07G4LWMF3,Otrio – Strategy-Based Board Game,25.62,4.8,1075
131,B07Y94HYBG,"Escape Room in a Box:The Walking Dead Board Game, Party Game for 4 to 8 Players with Clues & Puzzles Inspired by AMC TV Series, Gift for Teens & Adults Ages 13 Years Old & Up",29.99,4.1,1291
132,B00M4LWXI0,"Apple iMac 21.5in 2.7GHz Core i5 (ME086LL/A) All In One Desktop, 8GB Memory, 1TB Hard Drive, Mac OS X Mountain Lion (Renewed)",648.98,4.3,835
133,B08HZD5XMM,"Poker Keno Game Set with Cards and Chips - Adult Family Casino Board Game Night Gift Includes Deck of Playing Cards, 12 Boards, 200 Bingo Chips",14.99,4.6,6
134,B005COHOM6,Kingdom Builder,37.95,4.6,394
135,B08D7KW38G,Fast Sling Puck Game - Wood Foosball Winner Board Game - Table Desktop Best Battle Board Foosball Slingshot Game for Kids & Family,19.65,4.1,24
136,B01MQ4IKQJ,Ticket to Ride - First Journey,29.99,4.8,903
137,B08B7X7YYK,"Kids Board Games, Double Sided Safe Dart Board for Kids with 9 Sticky Balls and 13.6 Inches Dartboard, Best Outdoor Indoor Sports Family Party Toys Game Gifts for Boys Girls Children",14.99,4.8,46
138,B01MV4R07B,Shark Bite -- Roll the Die and Fish for Colorful Sea Creatures Before the Shark Bites Game!,15.97,4.6,4226
139,B079XXJVQW,Game Night,3.99,4.5,2018
140,B08H1HW596,Leder Games Fort Card Game,29.88,5.0,3
141,B08GYKSMX4,Tekhenu Obelisk of The Sun,53.3,5.0,1
142,B001SN8GF4,"USAOPOLY Telestrations Original 8 Player, Family Board Game, A Fun Family Game for Kids and Adults, Family Game Night Just Got Better, The Telephone Game Sketched Out, Multicolor",25.21,4.8,4982
143,B01CPUJVOI,Monopoly Vintage Bookshelf Edition,32.07,4.7,305
144,B07W7LFCRV,"ENHANCE Board Game Backpack - Reinforced Board Game Storage with Padded Shoulder Straps, Carrying Handle and Accessory Pockets for Dice, Card Games and More - Fits Board Games",109.99,4.7,43
145,B07PY2YF2X,"3 in 1 Giant Checkers Set – Calssic Indoor Outdoor Yard Games for Family Fun & Parties – Giant Board Games Including Giant Checkers Rug for Kids,Tic Tac Toe Game with Reversible Rug",18.99,4.7,489
146,B07WT1JRJH,Wooden Chinese Checkers Board Game|Includes 60 Wooden Pegs in 6 Colors|Made with All Natural Wooden Materials|Classic Strategy Game & Fun for The Whole Family (11.5 Inch),23.99,4.6,213
147,B01BDK1O64,Ouija Board Game,19.99,4.3,1623
148,B07BMLQBM1,Unstable Unicorns Card Game - A strategic card game and party game for adults & teens,14.99,4.6,8760
149,B01C3IMJNC,Retro Series Scrabble 1949 Edition Game,19.99,4.7,1217
150,B00EFDXAB4,Winning Moves Games Classic Ouija,20.99,4.5,2586
151,B01LZXVN4P,Gloomhaven,100.88,4.8,2475
152,B07MC9JN56,Stonemaier Games Wingspan Game 2018 Version,63.0,4.8,582
153,B01MRG7T0D,What Do You Meme? Party Game,29.99,4.7,19090
154,B00MS1GK44,"Jokers and Marbles Game (Brown, 4-8 Player)",89.99,4.6,247
155,B00C3SFFEI,Scotland Yard - Family Game,35.46,4.7,1368
156,B08BHTL6SX,"Wooden Large Sling Hockey Board Game 22inch Camping Table Game Board ,for Kids Adults Party Birthday Gift Memorial Day Gift",30.0,5.0,1
157,B07TC5X8P5,GoSports Wedding Corn Hole Set | Regulation Size with Solid Stained Wood Construction,119.99,4.7,912
158,B07L1CPM28,"Tiny Towns: Original (AEG07053), 1-6 Players, 45-60 min Play Time, Strategy Board Game for Ages 14 and Up, Cleverly Plan & Construct a Thriving Town",34.45,4.7,590
159,B00S732WJE,"Winning Moves Games Guess Who? Board Game, Multicolor (1191)",13.69,4.6,3497
160,B08B53WGWX,Alderac Entertainment Group (AEG) Calico,37.71,5.0,1
161,B01M1DPWKV,The Awkard Guests Board Game. The Walton Case Board Game,41.99,4.6,82
162,B00NQQTXW6,Hasbro Gaming The Game of Life Junior Game,16.99,4.5,2411
163,B085WL4LMG,Funko Back to The Future - Back in Time Board Game,27.23,4.7,163
164,B077LZ69YZ,"Continent Race Geography for Kids Card Game - Kids 7+ Award Winning - Learn Continents & Countries World Map, Educational Board Games for Families",34.48,4.4,250
165,B014Q1XX9S,Czech Games Codenames,14.14,4.8,11934
166,B07Z9TLSZS,Rio Grande Games Pictures,44.95,4.4,24
167,B01MA5AJY9,Dominion Big Box II Board Game,60.35,4.8,569
168,B07HB88VXG,"Eggertspiele Camel Up Board Game, Multicolor",32.71,4.8,324
169,B0002HYHT6,HABA Monza - A Car Racing Beginner's Board Game Encourages Thinking Skills - Ages 5 and Up (Made in Germany),24.99,4.7,574
170,B0084M8UE4,Survive Escape From Atlantis 30th Anniversary Edition,41.9,4.8,1114
171,B00UA7O1GW,Inspiration Play Double Ditto Family Party Board Game,24.95,4.6,2432
172,B087XSQSZ9,"Escape Room The Game, Version 2 - with 4 Thrilling Escape Rooms | Solve The Mystery Board Game for Adults and Teens",39.99,4.2,102
173,B06WWF7297,Inspiration Play Rail Wreck Kids Train-Themed Preschool Educational Board Game (Ages 4-8) New,24.95,4.3,55
174,B07QXMJH7K,The Logo Game -- New Edition with All New Questions!,20.22,4.5,642
175,B085BM49M9,Herd Mentality Family Board Game | Don't Have A Cow Man,16.0,4.8,34
176,B07N8FN8R1,"Blue Orange Games Planet Board Game - Award Winning Kids, Family or Adult Strategy 3D Board Game for 2 to 4 Players. Recommended for Ages 8 & Up.",27.49,4.6,330
177,B086N314TX,"Muffin Time Party Game | Skateboarding Cows, Exploding Turtles and Talking Muffins",20.1,4.8,21
178,0786955708,Dungeons and Dragons: Wrath of Ashardalon,46.72,4.7,847
179,B07Z3LZD4Y,Magnetic Wooden Chess Checkers Set for Kids and Adults – 15” Staunton Chess Set - Travel Portable Folding Chess Board Game Sets - Storage for Wood Pieces - Unique E-Book for Beginner - 2 Extra Queens,34.95,4.5,157
180,B087BLVN4G,"PUBGAMER Fast Sling Puck Game, Sling Games Fast Sling Puck Table Game Paced Sling Puck Winner Wood Board Sport Toys (Small Size Suitable for Kids Child & Family), Come with Spare Piece and Spring Rope",18.99,4.5,369
181,B088MM6G5B,Tailgating Pros Cornhole Boards - 4'x2' Cornhole Game w/Carrying Case & Set of 8 Corn Hole Bean Bags w/Tote,139.85,4.4,36
182,B07CJDRHMT,Scrabble Deluxe Travel Edition,39.99,4.4,465
183,B07FN6TCVQ,Solid Oak Double Sided Aggravation Marble Board Game Wooden 16 inch by Cauff,67.95,4.6,137
184,B07ZP8HFNP,Joyful Mathematics MULTI Board Game,25.0,5.0,4
185,B01KAC6268,Renegade Game Studios Clank! A Deck Building Adventure!,60.25,4.8,709
186,0786958731,Dungeons & Dragons: The Legend of Drizzt Board Game,46.54,4.8,805
187,B08DNN3MZC,"Himal Bean Bag Toss Game - Collapsible Cornhole Game Set with 10 Bean Bags,Roman Tic Tac Toe Game Double Games,Outdoor Cornhole for Kids and Family (3 x 2-Feet, Single Board)",21.99,5.0,5
188,B00V82MG2O,HASBRO GAMING:Chutes and Ladders Board Game,0.0,4.8,1264
189,B074P7T3LS,Briarpatch Pete The Cat The Missing Cupcakes Game Based On The Popular Book Series,13.49,4.7,1500
190,B0813WY7V8,The Game Designers,11.99,4.2,2019
191,B00UB7OV7K,Dragonwood A Game of Dice & Daring Board Game,14.97,4.8,2326
192,B01EB2SRPC,Go Away Monster Board Game,14.99,4.6,281
193,B01MTG2QY2,Sagrada - Board Game by Floodgate Games,29.95,4.8,913
194,B07V7Z2ZVR,PRET-A-Porter,36.32,4.8,32
195,B07NZ8T7SB,"Gigamic - Triolet - Board Game, Brain Game, Woodenpiece",0.0,4.8,9
196,B0725LRH1W,North Star Games Evolution Board Game | Every Game Becomes a Different Adventure!,0.0,4.7,523
197,B06WPB221B,CMON Lorenzo Il Magnifico,39.15,4.3,35
198,1933054395,Mindware Qwirkle Board Game,24.95,4.8,6855
199,1223063151,Winning Moves Tile Lock Scrabble,16.96,4.4,3705
200,B01MR7O8ER,Santorini - Strategy-Based Board Game,16.99,4.6,955
201,B08CTH5YB4,"Funpeny Wooden Balance Board, Wobbel Balance Board Kid Yoga Board Curvy Board Wooden Rocker Board, 35 Inch Kid Size Wooden Style",59.99,5.0,5
202,B00MC5X94A,"Winning Moves Games Candy Land 65th Anniversary Game, Multicolor (1189)",11.99,4.8,1694
203,B00083HIJK,"Winning Moves Games Pay Day, The Classic Edition, Multicolor",12.29,4.8,1102
204,B07CZ6TWG8,"Winning Moves Games Clue Master Detective - Board Game, Multi-Colored",24.99,4.9,501
205,B082QSZ69K,Portal Games Detective: Season One,25.94,5.0,1
206,B01NALEP04,"Hasbro Gaming Perfection Game, Multicolor",19.99,4.7,3769
207,B085ZB186L,"VATOS Board Game, Kids Memory Game Help Color Recognition and Brain Development, Family Tabletop Matching Game for Kids Toddlers and Teens, Learning Toys Gift for 3,4,5,6,7 Years Old Boys & Girls",6.39,4.6,19
208,B000REQRAG,4th Edition Wheel Of Fortune,13.79,4.4,341
209,B004BW8TYC,HABA My Very First Games - First Orchard Cooperative Game Celebrating 30 Years (Made in Germany),29.99,4.9,779
210,B08D8S6SBR,"HELLO PAPAYA Fast Sling Foosball Supper Fast Winner Puck Game Middle Size, Table Desktop Battle 2 in 1 Ice Hockey Game, Funny Battle Board Games for Adults or Kids Party Home Parent - Child Game",19.98,4.4,27
211,1589935012,Evil Dead 2 - Extras Pack,32.0,4.7,9
212,B07VZYQR3P,"Trouble: DreamWorks Trolls World Tour Edition Board Game for Kids Ages 5 and Up; Includes Tiny Diamond Figure with Hair, Model:E8906",13.99,4.5,589
213,B085WKYSY2,Funko Last Defense! Board Game,14.99,4.6,18
214,B001M9JD9W,"Family Board Game – Wildcraft! an Herbal Adventure Game for Kids Ages 4-8 and Up – a Fun, Cooperative & Educational Board Game That Teaches 25 Medicinal Plants and Problem Solving Skills!",31.7,4.7,615
215,B074L5QBBF,Game Of Thrones - Season 7,2.99,4.8,2017
216,B07MPCMXGR,"UNSOLVED CASE FILES | Ashcroft, Harmony - Cold Case Murder Mystery Game | Can You Solve The Crime?",29.99,4.7,3049
217,B08CZCLCQB,"Aneco Halloween Ghost Dart Board Sticky Balls Toys Games Spliceable Dart Board Kit for Halloween Toy Games, 1 Dart Board and 6 Balls",14.99,4.0,3
218,B085WC6GZG,"The Isle of Cats - Rescue as Many Cats As Possible for 1-4 Players, Ages 8+",42.78,4.8,131
219,B079THKB17,Portal Games Detective,34.97,4.4,264
220,B082NLKMQ1,"CASAON Magnetic Dart Board Game with 12Pcs Magnetic Darts, Indoor Outdoor Dart Game Toy Gift for Kids Ages 6 7 8 9 10 11 12 Year Old",26.99,4.5,23
221,B016LBWYTQ,Hasbro Gaming Marvel Spider-Man Web Warriors Chutes & Ladders Game (Amazon Exclusive),16.99,4.8,1012
222,B00064XFVG,Horse-Opoly Board Game by Late For The Sky,22.19,4.8,515
223,B01C5U4PTY,"Rubik's Race Game, Head To Head Fast Paced Square Shifting Board Game Based On The Rubiks Cubeboard, for Family, Adults and Kids Ages 7 and Up",14.95,4.5,3981
224,B08GG9J8HR,Coatl - Strategy Board Game for 1-4 Players,39.99,4.8,7
225,B07M5BMVS3,CLUE: Scooby Doo! Board Game | Official Scooby-Doo! Merchandise Based on The Popular Scooby-Doo Cartoon | Classic Clue Game Featuring Scooby-Doo Characters | Gather The Gang and Solve The Mystery!,39.95,4.7,341
226,B07HM7WZT9,Rio Grande Games Power Grid Recharged,35.7,4.8,132
227,B083Q2FKTN,Escape Room The Game Expansion Pack – The Break-in | Solve The Mystery Board Game for Adults and Teens (English Version),11.99,5.0,1
